pdbid,logKd-Ki,Delta_H0 (kJ/mol),Delta_H0 (kJ/mol)
1zlw,5.89,5.96,5.96
2e9d,5.89,5.96,5.96
2j9a,5.89,5.96,5.96
2mpm,5.89,5.96,5.96
2oqs,5.89,5.96,5.96
2ph9,5.89,5.96,5.96
2qlb,5.89,5.96,5.96
2qm7,5.89,5.96,5.96
2viq,5.89,5.96,5.96
2xas,5.89,5.96,5.96
2y3p,5.89,5.96,5.96
2y8i,5.89,5.96,5.96
3bg8,5.89,5.96,5.96
3bu6,5.89,5.96,5.96
3e0q,5.89,5.96,5.96
3f9n,5.89,5.96,5.96
3ghe,5.89,5.96,5.96
3m54,5.89,5.96,5.96
3u9c,5.89,5.96,5.96
3wgw,5.89,5.96,5.96
3wzu,5.89,5.96,5.96
4a23,5.89,5.96,5.96
4b71,5.89,5.96,5.96
4b71,5.89,5.96,5.96
4gpl,5.89,5.96,5.96
4hva,5.89,5.96,5.96
4iu0,5.89,5.96,5.96
4p6e,5.89,5.96,5.96
4q3q,5.89,5.96,5.96
4tkn,5.89,5.96,5.96
4uau,5.89,5.96,5.96
4x3s,5.89,5.96,5.96
4xyn,5.89,5.96,5.96
2ew5,5.9,5.96,5.96
3wti,5.9,5.96,5.96
4azp,5.9,5.96,5.96
4bw1,5.9,5.96,5.96
4kne,5.9,5.96,5.96
4lkt,5.9,5.96,5.96
4qxj,5.9,5.96,5.96
5a5r,5.9,5.96,5.96
5a5s,5.9,5.96,5.96
2c0o,5.91,5.96,5.96
2g01,5.91,5.96,5.96
2pv2,5.91,5.96,5.96
3jzk,5.91,5.96,5.96
4mwe,5.91,5.96,5.96
4rxh,5.91,5.96,5.96
1a4h,5.92,5.96,5.96
1aj6,5.92,5.96,5.96
1lvk,5.92,5.96,5.96
1ok7,5.92,5.96,5.96
1qwe,5.92,5.96,5.96
1ule,5.92,5.96,5.96
1vgc,5.92,5.96,5.96
1yms,5.92,5.96,5.96
2g83,5.92,5.96,5.96
2g9v,5.92,5.96,5.96
2q96,5.92,5.96,5.96
2zyn,5.92,5.96,5.96
3jq7,5.92,5.96,5.96
3n5u,5.92,5.96,5.96
3qo9,5.92,5.96,5.96
3r0h,5.92,5.96,5.96
3tkz,5.92,5.96,5.96
3vqh,5.92,5.96,5.96
3zki,5.92,5.96,5.96
3zvt,5.92,5.96,5.96
4gja,5.92,5.96,5.96
4h1j,5.92,5.96,5.96
4hz5,5.92,5.96,5.96
4l3p,5.92,5.96,5.96
4mdq,5.92,5.96,5.96
4ot6,5.92,5.96,5.96
4p0x,5.92,5.96,5.96
4pz8,5.92,5.96,5.96
4rme,5.92,5.96,5.96
4ux6,5.92,5.96,5.96
4ztl,5.92,5.96,5.96
5afx,5.92,5.96,5.96
2hny,5.93,5.96,5.96
2xno,5.93,5.96,5.96
3ft4,5.93,5.96,5.96
3pm1,5.93,5.96,5.96
4i6b,5.93,5.96,5.96
4op2,5.93,5.96,5.96
4qwr,5.93,5.96,5.96
2c4g,5.94,5.96,5.96
2p99,5.94,5.96,5.96
2woa,5.94,5.96,5.96
3lnk,5.94,5.96,5.96
3nef,5.94,5.96,5.96
3neg,5.94,5.96,5.96
4mr4,5.94,5.96,5.96
4qh7,5.94,5.96,5.96
3zot,5.95,5.96,5.96
4rhy,5.95,5.96,5.96
5ale,5.95,5.96,5.96
5bpe,5.95,5.96,5.96
1p05,5.96,5.96,5.96
1t7r,5.96,5.96,5.96
2e9c,5.96,5.96,5.96
2fhy,5.96,5.96,5.96
2joa,5.96,5.96,5.96
2mow,5.96,5.96,5.96
2o3p,5.96,5.96,5.96
2o7v,5.96,5.96,5.96
2peh,5.96,5.96,5.96
2q92,5.96,5.96,5.96
2xaq,5.96,5.96,5.96
2ykb,5.96,5.96,5.96
2yke,5.96,5.96,5.96
3btl,5.96,5.96,5.96
3cfs,5.96,5.96,5.96
3fxw,5.96,5.96,5.96
3fy0,5.96,5.96,5.96
3g3m,5.96,5.96,5.96
3lpr,5.96,5.96,5.96
3mp6,5.96,5.96,5.96
3rw9,5.96,5.96,5.96
3sad,5.96,5.96,5.96
3wns,5.96,5.96,5.96
4awg,5.96,5.96,5.96
4bqy,5.96,5.96,5.96
4cki,5.96,5.96,5.96
4e9c,5.96,5.96,5.96
4feq,5.96,5.96,5.96
4hkn,5.96,5.96,5.96
4hlh,5.96,5.96,5.96
4hlk,5.96,5.96,5.96
4p0w,5.96,5.96,5.96
4urk,5.96,5.96,5.96
4uxh,5.96,5.96,5.96
4xuc,5.96,5.96,5.96
4yvc,5.96,5.96,5.96
5d1u,5.96,5.96,5.96
5em8,5.96,5.96,5.96
1x7e,5.97,6.92,6.92
2hug,5.97,6.92,6.92
2m0v,5.97,6.92,6.92
4qtd,5.97,6.92,6.92
4qwg,5.97,6.92,6.92
4wy6,5.97,6.92,6.92
5ald,5.97,6.92,6.92
2df6,5.98,6.92,6.92
3ezv,5.98,6.92,6.92
3rl8,5.98,6.92,6.92
4g69,5.98,6.92,6.92
1kl5,5.99,6.92,6.92
1njf,5.99,6.92,6.92
3t3e,5.99,6.92,6.92
4ch2,5.99,6.92,6.92
1ctr,6,6.92,6.92
1di8,6,6.92,6.92
1dpu,6,6.92,6.92
1ekb,6,6.92,6.92
1f0q,6,6.92,6.92
1f40,6,6.92,6.92
1fpy,6,6.92,6.92
1ftl,6,6.92,6.92
1gt1,6,6.92,6.92
1h1q,6,6.92,6.92
1hn2,6,6.92,6.92
1i7g,6,6.92,6.92
1k03,6,6.92,6.92
1kat,6,6.92,6.92
1ke8,6,6.92,6.92
1rpa,6,6.92,6.92
1tou,6,6.92,6.92
1uvr,6,6.92,6.92
1uym,6,6.92,6.92
1xgj,6,6.92,6.92
1zgv,6,6.92,6.92
2am1,6,6.92,6.92
2l6e,6,6.92,6.92
2qa8,6,6.92,6.92
2qh6,6,6.92,6.92
2r3i,6,6.92,6.92
2wnl,6,6.92,6.92
2wzx,6,6.92,6.92
2xhs,6,6.92,6.92
2ym3,6,6.92,6.92
2z5o,6,6.92,6.92
3aig,6,6.92,6.92
3az8,6,6.92,6.92
3az9,6,6.92,6.92
3bze,6,6.92,6.92
3dxm,6,6.92,6.92
3f69,6,6.92,6.92
3ggj,6,6.92,6.92
3haw,6,6.92,6.92
3met,6,6.92,6.92
3nyn,6,6.92,6.92
3qnj,6,6.92,6.92
3udq,6,6.92,6.92
3uh2,6,6.92,6.92
3zha,6,6.92,6.92
3zo1,6,6.92,6.92
4a0j,6,6.92,6.92
4awi,6,6.92,6.92
4bpj,6,6.92,6.92
4d2t,6,6.92,6.92
4ezw,6,6.92,6.92
4fvq,6,6.92,6.92
4g2y,6,6.92,6.92
4ivt,6,6.92,6.92
4jql,6,6.92,6.92
4l3o,6,6.92,6.92
4l7l,6,6.92,6.92
4nrt,6,6.92,6.92
4o72,6,6.92,6.92
4pmt,6,6.92,6.92
4pzx,6,6.92,6.92
4qwf,6,6.92,6.92
4rao,6,6.92,6.92
4rs0,6,6.92,6.92
4u2w,6,6.92,6.92
4wyy,6,6.92,6.92
4x8g,6,6.92,6.92
4zz3,6,6.92,6.92
6cgt,6,6.92,6.92
1awf,6.01,6.92,6.92
2o48,6.01,6.92,6.92
2qhn,6.01,6.92,6.92
2vqm,6.01,6.92,6.92
2z4w,6.01,6.92,6.92
2z4w,6.01,6.92,6.92
4ie3,6.01,6.92,6.92
4uv9,6.01,6.92,6.92
1xlz,6.02,6.92,6.92
1zz1,6.02,6.92,6.92
2xwe,6.02,6.92,6.92
3jqb,6.02,6.92,6.92
3pkc,6.02,6.92,6.92
3ti4,6.02,6.92,6.92
3ugc,6.02,6.92,6.92
3zkf,6.02,6.92,6.92
4jhz,6.02,6.92,6.92
4tjw,6.02,6.92,6.92
1fq8,6.03,6.92,6.92
1n8u,6.03,6.92,6.92
3qtr,6.03,6.92,6.92
3rx7,6.03,6.92,6.92
4f9v,6.03,6.92,6.92
4ii9,6.03,6.92,6.92
4pd8,6.03,6.92,6.92
1t79,6.04,6.92,6.92
2e9a,6.04,6.92,6.92
2vcq,6.04,6.92,6.92
2w1d,6.04,6.92,6.92
2w2i,6.04,6.92,6.92
2wbb,6.04,6.92,6.92
3ijy,6.04,6.92,6.92
3lbk,6.04,6.92,6.92
3zlq,6.04,6.92,6.92
4h38,6.04,6.92,6.92
4mma,6.04,6.92,6.92
1aq7,6.05,6.92,6.92
1pxl,6.05,6.92,6.92
1t29,6.05,6.92,6.92
1z6p,6.05,6.92,6.92
2a3i,6.05,6.92,6.92
2l75,6.05,6.92,6.92
2nns,6.05,6.92,6.92
2q11,6.05,6.92,6.92
2r3p,6.05,6.92,6.92
2r7g,6.05,6.92,6.92
2wi5,6.05,6.92,6.92
2x3t,6.05,6.92,6.92
2zoq,6.05,6.92,6.92
3cfv,6.05,6.92,6.92
3d04,6.05,6.92,6.92
3lgl,6.05,6.92,6.92
3max,6.05,6.92,6.92
3skh,6.05,6.92,6.92
4eoi,6.05,6.92,6.92
4eol,6.05,6.92,6.92
4eon,6.05,6.92,6.92
4eop,6.05,6.92,6.92
4ge2,6.05,6.92,6.92
4hxz,6.05,6.92,6.92
4inb,6.05,6.92,6.92
4qfs,6.05,6.92,6.92
4qvp,6.05,6.92,6.92
4ris,6.05,6.92,6.92
4w7t,6.05,6.92,6.92
1jmi,6.06,6.92,6.92
1qnh,6.06,6.92,6.92
2xkf,6.06,6.92,6.92
2ym6,6.06,6.92,6.92
3buo,6.06,6.92,6.92
3qc9,6.06,6.92,6.92
4gw8,6.06,6.92,6.92
4hlf,6.06,6.92,6.92
4o4r,6.06,6.92,6.92
5avi,6.06,6.92,6.92
5c29,6.06,6.92,6.92
1c5f,6.07,6.92,6.92
1o5f,6.07,6.92,6.92
1xo2,6.07,6.92,6.92
1yy6,6.07,6.92,6.92
1zpb,6.07,6.92,6.92
2pjt,6.07,6.92,6.92
2vtn,6.07,6.92,6.92
2wmx,6.07,6.92,6.92
3le8,6.07,6.92,6.92
3loo,6.07,6.92,6.92
4abv,6.07,6.92,6.92
4ec0,6.07,6.92,6.92
4h5e,6.07,6.92,6.92
4l09,6.07,6.92,6.92
4wwn,6.07,6.92,6.92
4xqu,6.07,6.92,6.92
1awh,6.08,6.92,6.92
1f4y,6.08,6.92,6.92
1kz8,6.08,6.92,6.92
1sri,6.08,6.92,6.92
1tet,6.08,6.92,6.92
1y8p,6.08,6.92,6.92
2g9u,6.08,6.92,6.92
2pze,6.08,6.92,6.92
2x6i,6.08,6.92,6.92
3kaf,6.08,6.92,6.92
3otf,6.08,6.92,6.92
3rhx,6.08,6.92,6.92
3sv7,6.08,6.92,6.92
4ir6,6.08,6.92,6.92
1ftj,6.09,6.92,6.92
4cwb,6.09,6.92,6.92
4cxw,6.09,6.92,6.92
4e8y,6.09,6.92,6.92
4f49,6.09,6.92,6.92
4lkl,6.09,6.92,6.92
4o3b,6.09,6.92,6.92
4pni,6.09,6.92,6.92
1b56,6.1,6.92,6.92
1css,6.1,6.92,6.92
1css,6.1,6.92,6.92
1meu,6.1,6.92,6.92
1oj5,6.1,6.92,6.92
1tka,6.1,6.92,6.92
1zxv,6.1,6.92,6.92
2cvd,6.1,6.92,6.92
2fum,6.1,6.92,6.92
2pzi,6.1,6.92,6.92
2r3g,6.1,6.92,6.92
2vwz,6.1,6.92,6.92
2y06,6.1,6.92,6.92
2zu3,6.1,6.92,6.92
3cii,6.1,6.92,6.92
3d62,6.1,6.92,6.92
3djf,6.1,6.92,6.92
3ho9,6.1,6.92,6.92
3lkh,6.1,6.92,6.92
3mp1,6.1,6.92,6.92
3rcj,6.1,6.92,6.92
3saz,6.1,6.92,6.92
3t1n,6.1,6.92,6.92
4akn,6.1,6.92,6.92
4c4n,6.1,6.92,6.92
4dgg,6.1,6.92,6.92
4euc,6.1,6.92,6.92
4fmn,6.1,6.92,6.92
4glw,6.1,6.92,6.92
4hbn,6.1,6.92,6.92
4hmk,6.1,6.92,6.92
4hod,6.1,6.92,6.92
4mz5,6.1,6.92,6.92
4ocp,6.1,6.92,6.92
4wp7,6.1,6.92,6.92
4xkb,6.1,6.92,6.92
4ya8,6.1,6.92,6.92
4z1s,6.1,6.92,6.92
5c13,6.1,6.92,6.92
1xxh,6.11,6.92,6.92
2jnw,6.11,6.92,6.92
2nqi,6.11,6.92,6.92
2o63,6.11,6.92,6.92
2ykc,6.11,6.92,6.92
3wdd,6.11,6.92,6.92
4c9w,6.11,6.92,6.92
4gvm,6.11,6.92,6.92
4li7,6.11,6.92,6.92
4mm8,6.11,6.92,6.92
4no6,6.11,6.92,6.92
4qw1,6.11,6.92,6.92
4s3e,6.11,6.92,6.92
5dd9,6.11,6.92,6.92
1gag,6.12,6.92,6.92
1o2g,6.12,6.92,6.92
1uu3,6.12,6.92,6.92
2kgi,6.12,6.92,6.92
2vpp,6.12,6.92,6.92
2z78,6.12,6.92,6.92
3pkd,6.12,6.92,6.92
3r2a,6.12,6.92,6.92
4aw5,6.12,6.92,6.92
4hzt,6.12,6.92,6.92
4irx,6.12,6.92,6.92
4l7d,6.12,6.92,6.92
5aki,6.12,6.92,6.92
1aku,6.13,6.92,6.92
2ccu,6.13,6.92,6.92
2xyr,6.13,6.92,6.92
3fej,6.13,6.92,6.92
3g9l,6.13,6.92,6.92
3ow3,6.13,6.92,6.92
3sm0,6.13,6.92,6.92
3tn8,6.13,6.92,6.92
3zeb,6.13,6.92,6.92
4jlj,6.13,6.92,6.92
4q18,6.13,6.92,6.92
5alo,6.13,6.92,6.92
2c6k,6.14,6.92,6.92
3bti,6.14,6.92,6.92
3db6,6.14,6.92,6.92
3ig1,6.14,6.92,6.92
3pz1,6.14,6.92,6.92
3pz2,6.14,6.92,6.92
4jj8,6.14,6.92,6.92
4rt1,6.14,6.92,6.92
4umt,6.14,6.92,6.92
1bmb,6.15,6.92,6.92
1cw2,6.15,6.92,6.92
1cw2,6.15,6.92,6.92
1h6e,6.15,6.92,6.92
1tkt,6.15,6.92,6.92
1tsl,6.15,6.92,6.92
1w6r,6.15,6.92,6.92
1w76,6.15,6.92,6.92
2bz5,6.15,6.92,6.92
2ewy,6.15,6.92,6.92
2gfs,6.15,6.92,6.92
2j3q,6.15,6.92,6.92
2k7l,6.15,6.92,6.92
2mg5,6.15,6.92,6.92
2wtj,6.15,6.92,6.92
2xck,6.15,6.92,6.92
2y4s,6.15,6.92,6.92
2y9q,6.15,6.92,6.92
2z4y,6.15,6.92,6.92
2z9g,6.15,6.92,6.92
3bbt,6.15,6.92,6.92
3bh3,6.15,6.92,6.92
3ce0,6.15,6.92,6.92
3fpd,6.15,6.92,6.92
3ktr,6.15,6.92,6.92
3l3x,6.15,6.92,6.92
3lkz,6.15,6.92,6.92
3osw,6.15,6.92,6.92
3qxd,6.15,6.92,6.92
3r7b,6.15,6.92,6.92
3r7n,6.15,6.92,6.92
3rm8,6.15,6.92,6.92
3usn,6.15,6.92,6.92
3v4x,6.15,6.92,6.92
3v6r,6.15,6.92,6.92
4exh,6.15,6.92,6.92
4hnf,6.15,6.92,6.92
4kzl,6.15,6.92,6.92
4mpc,6.15,6.92,6.92
4msl,6.15,6.92,6.92
4p4j,6.15,6.92,6.92
4r5v,6.15,6.92,6.92
4utn,6.15,6.92,6.92
4utr,6.15,6.92,6.92
5agj,6.15,6.92,6.92
5agj,6.16,6.92,6.92
2evm,6.16,6.92,6.92
3fnu,6.16,6.92,6.92
3lpg,6.16,6.92,6.92
4b6c,6.16,6.92,6.92
4ktu,6.16,6.92,6.92
4mse,6.16,6.92,6.92
4o37,6.16,6.92,6.92
4rhu,6.16,6.92,6.92
4zro,6.16,6.92,6.92
5f2k,6.16,6.92,6.92
1okv,6.17,6.92,6.92
1shd,6.17,6.92,6.92
1sle,6.17,6.92,6.92
2kce,6.17,6.92,6.92
2va6,6.17,6.92,6.92
3hp2,6.17,6.92,6.92
3oik,6.17,6.92,6.92
3owl,6.17,6.92,6.92
4bpi,6.17,6.92,6.92
4c68,6.17,6.92,6.92
4dfl,6.17,6.92,6.92
4ikt,6.17,6.92,6.92
4ju6,6.17,6.92,6.92
4ju7,6.17,6.92,6.92
4pn1,6.17,6.92,6.92
5ddf,6.17,6.92,6.92
1ke9,6.18,6.92,6.92
1qf4,6.18,6.92,6.92
2c3j,6.18,6.92,6.92
2qhm,6.18,6.92,6.92
2vti,6.18,6.92,6.92
3amb,6.18,6.92,6.92
3eu7,6.18,6.92,6.92
3wff,6.18,6.92,6.92
4nmx,6.18,6.92,6.92
4qwl,6.18,6.92,6.92
1d4t,6.19,6.92,6.92
1dx6,6.19,6.92,6.92
1f92,6.19,6.92,6.92
1tpz,6.19,6.92,6.92
2o65,6.19,6.92,6.92
2p98,6.19,6.92,6.92
2qyl,6.19,6.92,6.92
2xd6,6.19,6.92,6.92
3dwb,6.19,6.92,6.92
3fr4,6.19,6.92,6.92
3qtw,6.19,6.92,6.92
3v8s,6.19,6.92,6.92
3vjs,6.19,6.92,6.92
3zcw,6.19,6.92,6.92
4i4f,6.19,6.92,6.92
4olc,6.19,6.92,6.92
4r8y,6.19,6.92,6.92
4umu,6.19,6.92,6.92
5aiv,6.19,6.92,6.92
5c84,6.19,6.92,6.92
1jif,6.2,6.92,6.92
1tl3,6.2,6.92,6.92
1wbs,6.2,6.92,6.92
2gmv,6.2,6.92,6.92
2osm,6.2,6.92,6.92
2won,6.2,6.92,6.92
3fzt,6.2,6.92,6.92
3h0s,6.2,6.92,6.92
3nf3,6.2,6.92,6.92
4b72,6.2,6.92,6.92
4gw6,6.2,6.92,6.92
4is6,6.2,6.92,6.92
4jvq,6.2,6.92,6.92
1aht,6.21,6.92,6.92
2b17,6.21,6.92,6.92
2uzl,6.21,6.92,6.92
2ykj,6.21,6.92,6.92
2zm3,6.21,6.92,6.92
3are,6.21,6.92,6.92
3bun,6.21,6.92,6.92
3dgn,6.21,6.92,6.92
3hlo,6.21,6.92,6.92
3i7i,6.21,6.92,6.92
3lmp,6.21,6.92,6.92
3m55,6.21,6.92,6.92
3n0h,6.21,6.92,6.92
3pkb,6.21,6.92,6.92
3rx8,6.21,6.92,6.92
3vid,6.21,6.92,6.92
3wiy,6.21,6.92,6.92
4bgm,6.21,6.92,6.92
4deh,6.21,6.92,6.92
4eyj,6.21,6.92,6.92
4hmh,6.21,6.92,6.92
4ht6,6.21,6.92,6.92
4i0d,6.21,6.92,6.92
4ir5,6.21,6.92,6.92
4jwr,6.21,6.92,6.92
4lp9,6.21,6.92,6.92
1bqn,6.22,6.92,6.92
1fbm,6.22,6.92,6.92
1fig,6.22,6.92,6.92
1gi6,6.22,6.92,6.92
1ka7,6.22,6.92,6.92
1xb7,6.22,6.92,6.92
2b53,6.22,6.92,6.92
2k1q,6.22,6.92,6.92
2o7e,6.22,6.92,6.92
2viz,6.22,6.92,6.92
2y07,6.22,6.92,6.92
2ye9,6.22,6.92,6.92
2ze1,6.22,6.92,6.92
3dxj,6.22,6.92,6.92
3e9i,6.22,6.92,6.92
3g2s,6.22,6.92,6.92
3h0w,6.22,6.92,6.92
3hvc,6.22,6.92,6.92
3ipa,6.22,6.92,6.92
3l5f,6.22,6.92,6.92
3o0g,6.22,6.92,6.92
3pb3,6.22,6.92,6.92
3s1y,6.22,6.92,6.92
3s9z,6.22,6.92,6.92
4b14,6.22,6.92,6.92
4dwk,6.22,6.92,6.92
4e5d,6.22,6.92,6.92
4kxl,6.22,6.92,6.92
4yv5,6.22,6.92,6.92
5bsk,6.22,6.92,6.92
1pmu,6.23,6.92,6.92
1pmu,6.23,6.92,6.92
2qu3,6.23,6.92,6.92
3wzq,6.23,6.92,6.92
4ikr,6.23,6.92,6.92
4kii,6.23,6.92,6.92
4l2f,6.23,6.92,6.92
4u0x,6.23,6.92,6.92
1tow,6.24,6.92,6.92
1xn0,6.24,6.92,6.92
1ym1,6.24,6.92,6.92
2fai,6.24,6.92,6.92
2fix,6.24,6.92,6.92
2gg3,6.24,6.92,6.92
2vx0,6.24,6.92,6.92
3fqh,6.24,6.92,6.92
3ryw,6.24,6.92,6.92
3waw,6.24,6.92,6.92
3wd2,6.24,6.92,6.92
4dgo,6.24,6.92,6.92
4h5d,6.24,6.92,6.92
4iqu,6.24,6.92,6.92
4s3f,6.24,6.92,6.92
1ke5,6.25,6.92,6.92
1wzy,6.25,6.92,6.92
1ykr,6.25,6.92,6.92
1zky,6.25,6.92,6.92
2q93,6.25,6.92,6.92
3ans,6.25,6.92,6.92
3th8,6.25,6.92,6.92
3wf9,6.25,6.92,6.92
4c35,6.25,6.92,6.92
4ib5,6.25,6.92,6.92
4inh,6.25,6.92,6.92
4m3e,6.25,6.92,6.92
4r3b,6.25,6.92,6.92
4y29,6.25,6.92,6.92
1oyn,6.26,6.92,6.92
2l6j,6.26,6.92,6.92
2ok1,6.26,6.92,6.92
2ql7,6.26,6.92,6.92
3oap,6.26,6.92,6.92
3rhk,6.26,6.92,6.92
3ux0,6.26,6.92,6.92
4bfz,6.26,6.92,6.92
4enx,6.26,6.92,6.92
4li5,6.26,6.92,6.92
4m3g,6.26,6.92,6.92
4n7y,6.26,6.92,6.92
4qzx,6.26,6.92,6.92
5cxz,6.26,6.92,6.92
1p06,6.27,6.92,6.92
2mkr,6.27,6.92,6.92
2nxl,6.27,6.92,6.92
3pka,6.27,6.92,6.92
3rbq,6.27,6.92,6.92
3wix,6.27,6.92,6.92
3zjv,6.27,6.92,6.92
4ay5,6.27,6.92,6.92
4ewr,6.27,6.92,6.92
4gb9,6.27,6.92,6.92
4l6q,6.27,6.92,6.92
4q3r,6.27,6.92,6.92
4qwk,6.27,6.92,6.92
4qwx,6.27,6.92,6.92
4wvs,6.27,6.92,6.92
1g50,6.28,6.92,6.92
1g6g,6.28,6.92,6.92
1gui,6.28,6.92,6.92
1ikv,6.28,6.92,6.92
1mqg,6.28,6.92,6.92
1ol2,6.28,6.92,6.92
2gfd,6.28,6.92,6.92
2hai,6.28,6.92,6.92
2nmb,6.28,6.92,6.92
2viv,6.28,6.92,6.92
2wo8,6.28,6.92,6.92
2wu7,6.28,6.92,6.92
3ioi,6.28,6.92,6.92
3oc0,6.28,6.92,6.92
3opp,6.28,6.92,6.92
3p7a,6.28,6.92,6.92
3rk9,6.28,6.92,6.92
3v0p,6.28,6.92,6.92
3wnr,6.28,6.92,6.92
3wnt,6.28,6.92,6.92
4abu,6.28,6.92,6.92
4bgk,6.28,6.92,6.92
4jfv,6.28,6.92,6.92
4qw7,6.28,6.92,6.92
1yyr,6.29,6.92,6.92
2ael,6.29,6.92,6.92
2g0g,6.29,6.92,6.92
3ipy,6.29,6.92,6.92
3vhv,6.29,6.92,6.92
3wth,6.29,6.92,6.92
4cfw,6.29,6.92,6.92
4fjz,6.29,6.92,6.92
4h3a,6.29,6.92,6.92
4hze,6.29,6.92,6.92
4jda,6.29,6.92,6.92
4jju,6.29,6.92,6.92
4n84,6.29,6.92,6.92
4qt0,6.29,6.92,6.92
4wj5,6.29,6.92,6.92
4y2x,6.29,6.92,6.92
5ap7,6.29,6.92,6.92
1a2c,6.3,6.92,6.92
1a5h,6.3,6.92,6.92
1c7e,6.3,6.92,6.92
1c9d,6.3,6.92,6.92
1gqs,6.3,6.92,6.92
1hqh,6.3,6.92,6.92
1m5c,6.3,6.92,6.92
1oxq,6.3,6.92,6.92
1pwp,6.3,6.92,6.92
1w25,6.3,6.92,6.92
1w51,6.3,6.92,6.92
1zh7,6.3,6.92,6.92
2f3r,6.3,6.92,6.92
2fda,6.3,6.92,6.92
2i5j,6.3,6.92,6.92
2jg8,6.3,6.92,6.92
2nwn,6.3,6.92,6.92
2or9,6.3,6.92,6.92
2r3f,6.3,6.92,6.92
2vgo,6.3,6.92,6.92
2w4i,6.3,6.92,6.92
2w8f,6.3,6.92,6.92
2y4l,6.3,6.92,6.92
2zv2,6.3,6.92,6.92
3g1m,6.3,6.92,6.92
3ls4,6.3,6.92,6.92
3me9,6.3,6.92,6.92
3mea,6.3,6.92,6.92
3meu,6.3,6.92,6.92
3qcj,6.3,6.92,6.92
3ql9,6.3,6.92,6.92
3s7b,6.3,6.92,6.92
3t4v,6.3,6.92,6.92
3tei,6.3,6.92,6.92
3vzd,6.3,6.92,6.92
4a9m,6.3,6.92,6.92
4aaw,6.3,6.92,6.92
4bw3,6.3,6.92,6.92
4dj7,6.3,6.92,6.92
4euv,6.3,6.92,6.92
4f63,6.3,6.92,6.92
4fgy,6.3,6.92,6.92
4i4e,6.3,6.92,6.92
4kil,6.3,6.92,6.92
4kio,6.3,6.92,6.92
4ob1,6.3,6.92,6.92
4ob2,6.3,6.92,6.92
4oq5,6.3,6.92,6.92
4uyh,6.3,6.92,6.92
4wq2,6.3,6.92,6.92
4yfi,6.3,6.92,6.92
5ajy,6.3,6.92,6.92
5brn,6.3,6.92,6.92
2op3,6.31,6.92,6.92
2p0x,6.31,6.92,6.92
3hs9,6.31,6.92,6.92
3k48,6.31,6.92,6.92
3ur9,6.31,6.92,6.92
4bg1,6.31,6.92,6.92
4e1e,6.31,6.92,6.92
4nah,6.31,6.92,6.92
4ovz,6.31,6.92,6.92
4pvo,6.31,6.92,6.92
1t69,6.32,6.92,6.92
2c9d,6.32,6.92,6.92
2uyi,6.32,6.92,6.92
2zga,6.32,6.92,6.92
3ckt,6.32,6.92,6.92
3el7,6.32,6.92,6.92
4mgc,6.32,6.92,6.92
4qq5,6.32,6.92,6.92
4qt2,6.32,6.92,6.92
1c29,6.33,6.92,6.92
1c8v,6.33,6.92,6.92
1xhm,6.33,6.92,6.92
1yys,6.33,6.92,6.92
2y1w,6.33,6.92,6.92
3dxk,6.33,6.92,6.92
3hxi,6.33,6.92,6.92
3nsh,6.33,6.92,6.92
3u8d,6.33,6.92,6.92
4i0z,6.33,6.92,6.92
4nk3,6.33,6.92,6.92
4tn4,6.33,6.92,6.92
4zg6,6.33,6.92,6.92
5ab9,6.33,6.92,6.92
2byi,6.34,6.92,6.92
4hev,6.34,6.92,6.92
4j3u,6.34,6.92,6.92
4jfw,6.34,6.92,6.92
4lkm,6.34,6.92,6.92
4pnr,6.34,6.92,6.92
4qrc,6.34,6.92,6.92
5bms,6.34,6.92,6.92
1gjb,6.35,6.92,6.92
1mik,6.35,6.92,6.92
1o48,6.35,6.92,6.92
1qwf,6.35,6.92,6.92
1yrs,6.35,6.92,6.92
2f2c,6.35,6.92,6.92
2qpj,6.35,6.92,6.92
3eid,6.35,6.92,6.92
3fr5,6.35,6.92,6.92
3hik,6.35,6.92,6.92
4azf,6.35,6.92,6.92
4eo4,6.35,6.92,6.92
4hl5,6.35,6.92,6.92
4i0f,6.35,6.92,6.92
4i67,6.35,6.92,6.92
4lq3,6.35,6.92,6.92
4mk5,6.35,6.92,6.92
4qvm,6.35,6.92,6.92
4zpe,6.35,6.92,6.92
5a2k,6.35,6.92,6.92
1fta,6.36,6.92,6.92
2iws,6.36,6.92,6.92
2owb,6.36,6.92,6.92
2y76,6.36,6.92,6.92
3g90,6.36,6.92,6.92
3t6j,6.36,6.92,6.92
3uwo,6.36,6.92,6.92
3wsy,6.36,6.92,6.92
4anv,6.36,6.92,6.92
4iti,6.36,6.92,6.92
4j0y,6.36,6.92,6.92
4j4v,6.36,6.92,6.92
4mg7,6.36,6.92,6.92
4mk7,6.36,6.92,6.92
4o36,6.36,6.92,6.92
4psq,6.36,6.92,6.92
6abp,6.36,6.92,6.92
1g3f,6.37,6.92,6.92
2q9n,6.37,6.92,6.92
2ym5,6.37,6.92,6.92
3i7g,6.37,6.92,6.92
3mpf,6.37,6.92,6.92
3o88,6.37,6.92,6.92
3ui2,6.37,6.92,6.92
4e5h,6.37,6.92,6.92
4gw1,6.37,6.92,6.92
4ks3,6.37,6.92,6.92
4mm4,6.37,6.92,6.92
4mpe,6.37,6.92,6.92
4r91,6.37,6.92,6.92
